Название вакансии;Компания;Зарплата;Ссылка
IT программист;ООО Maxmoll;80 000 – 120 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122922729?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Go-разработчик (стажер);АО ИнфоТеКС;Не указана;https://tomsk.hh.ru/vacancy/122788986?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C#.Net, ASP.NET MVC, MS SQL (EF);ООО ШтафунСофт;80 000 – 200 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122886954?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Go-разработчик (стажер);АО ИнфоТеКС;Не указана;https://tomsk.hh.ru/vacancy/122789068?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend. NET/С# (Middle);Neo Stack Technology;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/120669088?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Junior;ООО Интрайс;от 50 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/121382746?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист;ООО Томсккабель;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122558844?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ООО ТБС ЦЕРЕУС;45 000 – 100 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/122845754?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО;ООО СистемоСинтез;60 000 – 80 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/122762576?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист;АО Радар ММС;Не указана;https://tomsk.hh.ru/vacancy/109848394?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик;ООО Интрайс;Не указана;https://tomsk.hh.ru/vacancy/121803824?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ООО Томская региональная концессионная компания;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122548539?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
React Frontend Web Developer/разработчик в офис, г. Томск;ООО СистемоСинтез;70 000 – 90 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122042879?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист;ФГБОУ ВО САХГУ;Не указана;https://tomsk.hh.ru/vacancy/122960349?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
